Name,Algorithm,Time,Visited states,Min colors,Algorithm,Time,Visited states,Min colors,Algorithm,Time,Visited states,Min colors
fpsol2.i.3.col,fesability,20.00888705,1490,32,kempe,12.37079453,992,32,Hybrid,116.4207916,9920,32
games120.col,fesability,20.00607061,6114,9,kempe,0.244364977,72,9,Hybrid,2.167542219,720,9
huck.col,fesability,23.25539589,12449,10,kempe,0.169079304,110,11,Hybrid,1.749482393,1100,11
inithx.i.1.col,fesability,20.05204415,779,55,kempe,71.91334343,2970,55,Hybrid,653.2580395,29700,55
inithx.i.2.col,fesability,20.04069257,904,33,kempe,21.36561871,1056,33,Hybrid,211.2852001,10560,33
inithx.i.3.col,fesability,20.03098083,908,33,kempe,21.51969934,1056,33,Hybrid,221.4354796,10560,33
jean.col,fesability,20.02777958,11793,10,kempe,0.122361183,90,10,Hybrid,1.676191568,900,10
myciel3.col,fesability,20.02113533,98757,3,kempe,0,12,4,Hybrid,0.030905962,120,4
myciel4.col,fesability,20.04230738,46541,4,kempe,0,20,5,Hybrid,0.101828814,200,5
myciel5.col,fesability,20.00428581,21295,6,kempe,0.031243086,30,6,Hybrid,0.284186602,300,6
myciel6.col,fesability,20.02658653,8699,7,kempe,0.137981176,42,7,Hybrid,1.086368799,420,7
myciel7.col,fesability,20.01235271,3405,8,kempe,0.285098076,56,8,Hybrid,3.099778414,560,8
queen10_10.col,fesability,20.01748896,2032,16,kempe,0.833555698,240,16,Hybrid,8.74461031,2400,16
queen11_11.col,fesability,20.01269364,1814,18,kempe,1.418427229,306,18,Hybrid,15.05811024,3060,18
queen12_12.col,fesability,20.02980113,1315,20,kempe,2.336879253,380,20,Hybrid,24.18774295,3800,20
queen7_7.col,fesability,20.0025022,9023,11,kempe,0.147101402,110,11,Hybrid,1.763092041,1100,11
queen8_12.col,fesability,20.00334549,5062,14,kempe,0.585791349,182,14,Hybrid,7.054025888,1820,14
queen8_8.col,fesability,20.00454354,8509,12,kempe,0.285185099,132,12,Hybrid,3.015901804,1320,12
queen9_9.col,fesability,20.00605941,6376,14,kempe,0.485743523,182,14,Hybrid,5.620908022,1820,14
zeroin.i.2.col,fesability,20.00186014,3400,31,kempe,4.792822361,930,31,Hybrid,48.57368255,9300,31
zeroin.i.3.col,fesability,20.0167582,3537,31,kempe,4.837224245,930,31,Hybrid,51.22653818,9300,31
